I_Code,I_Name,Min_Reorder,I_P_Price,I_S_Price_W,I_S_Price_N,I_S_Price_P,I_Disc
246367011,"م 230 العميد ش",0,183,189.5,189.5,199.5,0
246323001,"م 400 حلا ش",0,245,269,269,279,0
246339001,"دفايه م 4XL م 303 ساندى ش",0,133,142,142,152,0
246339002,"دفايه م 5XL م 204 ساندى ش",0,138,147,147,157,0
246339003,"م 216 ساندى ش",0,170,179.5,179.5,189.5,0
247577005,"م 270 النوران *1*",0,155,155,155,165,0
247577008,"م 2820 النوران *1*",0,140,140,140,150,0
247577009,"م 5010 النوران *1*",0,140,140,140,150,0
247577011,"م 75 النوران *1*",0,160,160,160,170,0
247577012,"م 70 النوران *1*",0,135,135,135,145,0
247577013,"م 2840 النوران *1*",0,95,103,103,113,0
247577014,"م 160 النوران *1*",0,65,94,94,104,0
247577015,"م 2510 النوران *1*",0,60,68,68,78,0
247577016,"م 2515 النوران *1*",0,60,68,68,78,0
242081001,"م590فست مونو تكس *1*",0,200,220,220,230,0
242081002,"م500 فست مونو تكس*1*",0,175,190,190,200,0
242081003,"م520فست مونو تكس *1*",0,225,240,240,250,0
242081004,"م570فست مونو تكس *1*",0,240,255,255,265,0
242081005,"م660فست مونو تكس *1*",0,205,220,220,230,0
242081006,"م720 فست مونو تكس *1*",0,240,255,255,265,0
242081007,"م680 فست مونو تكس *1*",0,195,210,210,220,0
242081008,"م750 فست مونو تكس *1*",0,210,225,225,235,0
240625001,"م103 ميلتون زنط فرو شبابى ش+1/2",0,150,149,150,160,0
240625002,"م104ميلتون فرو زنط شبابى ش+1/2",0,150,149,150,160,0
240625003,"م106كشمير قطن كوله سوسته ش+1/2",0,165,164,165,175,0
240625004,"م105كشمير قطن حوض شبابى ش+1/2",0,150,149,150,160,0
240625005,"م403 كشمير 6/8/10ش+1/2",0,120,119,120,130,0
240625006,"م303كشمير 12/14/16ش+1/2",0,130,129,130,140,0
246339004,"بجامه فرو م 323 ساندى ش",0,135,145,145,155,0
247549001,"م 725 جاكو *1*",0,95,109,109,119,0
247549002,"م 4020 جاكو *1*",0,125,139,139,149,0
240513009,"م3015 زارا ش",0,140,149,150,160,0
240513010,"م3014 زارا ش",0,180,194,195,205,0
247549003,"م 1000 جاكو *1*",0,140,144,144,154,0
240513011,"م3017 زارا ش",0,190,199,200,210,0
240513012,"م3016 زارا ش",0,420,434,435,445,0
247549004,"م 3080 جاكو *1*",0,140,154,154,164,0
247549005,"م 4030 جاكو *1*",0,95,109,109,119,0
240513013,"م7034 زارا ش",0,170,179,180,190,0
240513014,"م7024 زارار ش",0,180,189,190,200,0
240513015,"م7031 زارا ش",0,200,209,210,230,0
240513016,"م7025 زارا ش",0,205,224,225,235,0
240513018,"م 7039زارا ش ",0,220,229,230,240,0
240513020,"م 7013زارا ش ",0,260,269,270,280,0
240513021,"م 7000 زارا ش ",0,260,269,270,280,0
240513023,"م 7008زارا ش ",0,300,314,315,325,0
240513024,"م 7015 زارا ش ",0,385,409,410,420,0
240513026,"م 7020زارا ش ",0,435,469,470,500,0
240513028,"م 9026زارا ش ",0,450,474,475,485,0
240513019,"م7012 زارا ش+1",0,260,269,270,280,0
240513017,"م7026 زارا ش+1",0,210,219,220,230,0
240513022,"م7011 زارا ش+1",0,270,279,280,290,0
240513025,"م7002 زارا ش+1",0,435,449,450,460,0
240513027,"م7010 زارا ش+1",0,485,519,520,540,0
246372001,"م 1530 روك ش",0,270,270,270,280,0
246373001,"م 760 كريستيانو ش",0,250,250,250,260,0
240511019,"3054 اسامه ش ",0,150,149,150,160,15
241612004,"ترنج فولار م s/m l الطاحونة ش",0,280,295,295,310,0
247577003,"م 5080 النوران ",0,100,109,109,119,0
247577004,"م 35 النوران ",0,75,94,94,104,0
242041023,"مستطيل م870 مطرز بارونيس *1*",0,190,210,210,220,0
242041024,"مستطيل م 817 مطرز بارونيس *1*",0,190,210,210,220,0
240587001,"م 06 نور تكس ش",0,375,397,399,420,0
240587002,"م 025 نور تكس ش ش",0,375,397,399,420,0
240587003,"م 02 نور تكس ش ش",0,350,375,375,395,0
240563022,"م160تى شيرت قطيفه دهر هايدى الباشا+1",0,225,243,245,255,0
240563023,"م145تى شرت مزازيك سوسته زنط شبابى+1",0,145,163,165,176,0
240563024,"م190تى شيرت مزازيك سوسته زنط+1",0,155,164,165,175,0
240563025,"م150تى شيرت مزازيكسوسته زنط+1",0,155,164,165,175,0
240563026,"م200تى شيرت مزازيك سوسته زنط+1",0,155,164,165,175,0
240563027,"م125تى شيرت جوخ مطبوع سوسته زنط+1",0,155,164,165,175,0
240563028,"م140تى شيرت جوخ مطبوع سوسته زنط+1",0,155,164,165,175,0
240563029,"م135تى شيرت جوخ مطبوع سوسته زنط+1",0,155,164,165,175,0
240563030,"م1025 شورت غطس شبابى+1",0,60,74,75,90,0
240563031,"1030شروال غطس شبابى LV+1",0,100,109,110,120,0
240563032,"م1035شروال غطس شبابى نايك+1",0,100,109,110,120,0
241572001,"م230ثرى لاين 6/8 +1/2",0,80,84,85,95,0
241572002,"م250 ثرى لاين 6/8 +1/2",0,80,84,85,95,0
241572003,"م220ثري لاين 6/8 +12",0,80,84,85,95,0
241572004,"م240ثري لاين 6/8+1/2",0,80,84,85,95,0
401551010,"بنطلون مبارك م l /xl /xxl /xxxl ص",0,60,66,67,77,0
390583001,"48/96/92/13/118/120/19/23/82 رايف ش",0,130,138,140,150,0
246095001,"م 1007 الطريق ص *1*",0,0,129,129,139,0
243504010,"بدى زنط م 4ستار *C *1* - B *1/2",0,80,85,85,95,0
243504011,"بدى زنط م 5ستار *C *1* - B *1/2",0,80,87,87,97,0
243504012,"بدى زنط م 6ستار *C *1* - B *1/2",0,80,89,89,99,0
243504001,"بدى حوض م 1ستار *C *1* - B *1/2",0,57,60,60,70,0
243504002,"بدى حوض م 2ستار *C *1* - B *1/2",0,57,62,62,72,0
243504003,"بدى حوض م 3ستار *C *1* - B *1/2",0,57,64,64,74,0
243504004,"بدى حوض م 4ستار *C *1* - B *1/2",0,67,70,70,80,0
243504005,"بدى حوض م 5ستار *C *1* - B *1/2",0,67,72,72,82,0
243504006,"بدى حوض م 6ستار *C *1* - B *1/2",0,67,75,75,85,0
243504007,"بدى زنط م 1ستار *C *1* - B *1/2",0,67,70,70,80,0
243504008,"بدى زنط م 2ستار *C *1* - B *1/2",0,67,72,72,82,0
243504009,"بدى زنط م 3ستار *C *1* - B *1/2",0,67,75,75,85,0
243533001,"رمش زنط م 40 م 308 تريكو م ع  ",0,160,175,175,185,0
243533002,"رمش زنط م 50 م 308 تريكو م ع  ",0,185,190,190,200,0
243533003,"رمش زنط م 60 م 308 تريكو م ع  ",0,225,240,240,250,0
243533004,"عجينه بناتي م 40 م 305 تريكو م ع  ",0,78,85,85,95,0
243533005,"عجينه بناتي م 50 م 305 تريكو م ع ",0,93,100,100,110,0
243533006,"عجينه بناتي م 60 م 305 تريكو م ع ",0,113,120,120,130,0
243533007,"عجينه زنط م 50 م302 تريكو م ع ",0,108,118,118,128,0
243533008,"عجينه زنط م 60 م 302 تريكو م ع ",0,128,140,140,150,0
243533009,"عجينه زنط م 60 م 303 تريكو م ع ",0,128,140,140,150,0
243533010,"عجينه زنط م 40 م 304 تريكو م ع ",0,93,100,100,110,0
243533011,"عجينه زنط م 50 م 304 تريكو م ع ",0,108,118,118,128,0
243533012,"عجينه زنط م 60 م 304 تريكو م ع ",0,128,140,140,150,0
243533013,"عجينه حوض م 60 م 305 تريكو م ع ",0,78,85,85,95,0
243533014,"عجينه حوض م 50 م 305 تريكو م ع ",0,93,100,100,110,0
243533015,"عجينه حوض م 40 م 306 تريكو م ع ",0,78,85,85,95,0
243533016,"عجينه حوض م 50 م 306 تريكو م ع ",0,93,100,100,110,0
242074001,"م 0310 تريكو ي",0,190,215,215,235,0
242074002,"م 048 تريكو ي",0,300,325,325,350,0
242074003,"م 0101 تريكو ي",0,270,295,295,315,0
242074004,"م 0314 تريكو ي",0,215,240,240,260,0
242074005,"م 017 تريكو ي",0,200,225,225,245,0
242074006,"م 0307 تريكو ي",0,210,235,235,260,0
242074007,"م 0308 تريكو ي",0,200,225,225,245,0
242074008,"م 043 تريكو ي",0,250,275,275,300,0
242074009,"م 014 تريكو ي",0,190,215,215,240,0
242074010,"م 016 تريكو ي",0,240,265,265,290,0
242074011,"م 0108 تريكو ي",0,230,255,255,275,0
242074012,"م 0109 تريكو ي",0,230,255,255,275,0
242074013,"م 0204 تريكو ي ",0,235,260,260,280,0
242074014,"م 0320 تريكو ي ",0,230,255,255,275,0
242074015,"م 0327 تريكو ي  ",0,200,225,225,250,0
242074016,"م 0329 تريكو ي",0,220,245,245,265,0
242074017,"م 0103 تريكو ي",0,200,225,225,245,0
242074018,"بلوزه رمش قطه م 031 تريكو ي",0,230,250,250,260,0
